0;5.0;0;0;0;40;0;0;0;0;11;2;0;0;1;0;1
0;4.5;5.8;0;0;35;2;0;0;1;11;1;0;2;0;2;1
0;0;0;0;0;38;3;0;0;0;11;3;1;1;1;1;1
0;3.7;4.0;5.0;3;0;0;0;0;1;0;0;0;0;1;0;1
0;4.5;4.5;5.0;0;40;0;0;0;0;12;2;0;1;1;1;1
0;2.0;2.5;0;0;35;0;0;0;1;12;2;0;0;0;0;1
0;4.0;5.0;5.0;3;0;3;0;0;0;12;3;1;1;1;1;1
0;6.9;4.8;2.3;0;40;0;0;0;0;12;1;0;0;0;0;1
0;3.0;7.0;0;0;38;0;12;25;1;11;1;1;1;1;0;1
0;5.7;0;0;1;40;3;0;0;0;11;3;1;2;0;0;1
0;3.5;4.0;4.6;1;36;0;0;0;0;13;3;0;0;1;2;1
0;6.4;6.4;0;0;38;0;0;0;0;15;0;0;2;0;0;1
0;3.5;4.0;0;1;40;0;0;0;2;10;1;2;1;0;1;2
0;3.5;4.0;5.1;2;37;0;0;0;0;13;3;0;2;1;2;1
0;3.0;0;0;1;36;0;0;10;2;11;3;0;0;0;0;1
0;4.5;4.0;0;1;37;3;0;0;0;11;2;0;2;1;0;1
0;2.8;0;0;0;35;0;0;0;0;12;1;0;0;0;0;1
0;2.1;0;0;3;40;2;0;0;2;0;1;1;1;0;1;2
0;2.0;0;0;1;38;1;0;0;1;11;2;2;1;2;1;2
0;4.0;5.0;0;2;35;0;13;0;0;15;3;0;0;0;0;1
0;4.3;4.4;0;0;38;0;0;0;0;12;3;0;2;0;2;1
0;2.5;3.0;0;0;40;1;0;0;0;11;1;0;0;0;0;2
0;3.5;4.0;4.6;2;27;0;0;0;0;0;0;0;0;0;0;1
0;4.5;4.0;0;0;40;0;0;0;0;10;3;0;1;0;2;1
0;6.0;0;0;0;38;0;0;0;0;0;3;0;0;0;0;1
0;2.0;2.0;2.0;1;40;1;0;0;0;10;1;0;1;1;2;2
0;4.5;4.5;0;2;0;0;0;0;1;10;1;1;1;0;1;1
0;3.0;3.0;0;1;33;0;0;0;1;12;3;0;0;1;2;1
0;5.0;4.0;0;1;37;0;0;0;2;11;1;1;2;1;2;1
0;2.0;2.5;0;0;35;1;0;0;0;10;2;0;0;1;2;2
0;4.5;4.5;5.0;1;40;0;0;0;2;11;2;0;1;0;0;1
0;3.0;2.0;2.5;3;40;1;0;0;2;10;1;1;1;1;2;2
0;2.5;2.5;0;0;38;3;0;0;0;10;2;0;0;0;0;2
0;4.0;5.0;0;1;40;1;0;0;2;10;1;2;1;0;1;2
0;2.0;2.5;2.1;3;40;1;0;0;2;10;1;2;1;1;2;2
0;2.0;2.0;0;1;40;1;0;0;2;11;2;1;1;1;2;2
0;2.0;0;0;3;40;2;0;0;2;11;3;2;1;2;1;2
0;2.8;0;0;1;38;3;0;0;2;0;1;1;1;0;1;2
0;2.0;2.5;2.0;0;37;3;0;0;0;10;2;0;0;1;1;2
0;4.5;4.0;0;1;40;0;0;0;0;12;2;1;2;1;1;1
